"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","Accountability Index ","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","Ind9Rate","Ind9Points","Ind9PointsPossible","GradGapFlag","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","SupportType","SupportCategory","Distinction","DistinctionCategory","schoolyear","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints"
"2014","State of Connecticut","0000000","State of Connecticut","0000000","State of Connecticut","PK","12",,"StateTot","951.4","1,250","76.1",,,"67.9","90.5","100","56.7","77.6","75.6","100","59.3","79.1","100","69.3","47.8","63.7","100","56.5","75.3","100","45.9","65.4","61.2","100",,,,,,,,,,,,,,,,,,"0","0.961","0.962",,"0.958","0.96",,"0.989","0.981",,"0.106","38.8","50","0.173","25.4","50","0.661","44.1","50","0.373","24.9","50","0.856","45.5","50","0.87","92.6","100","0.776","82.6","100",,"0.728","97.1","100","0.51","0.876","17","50","0.457","38.1","50","0.776","0.967","0.191",,,,,,,,,"2014-15",,,,,,
"2014","Andover School District","0010011","District","0000000","District","District","District",,"DistrictTot","618.9441465","650","95.22217638",,"0","82.93221258","100","100","74.42190991","75","99.22921322","100","76.35009682","100","100","75","67.23694792","89.6492639","100","64.01266667","85.35022222","100",,"71.09019608",,"0","0.57","7.76",,,,,,,,,,,,,,,,"0","0.9879518072","1","0.9846153846","0.9880952381","1","0.9846153846","1",,"1","0.012145749","50","50","0.037037037","50","50",,,,,,,,,,,,,,,,,,,,"0.6707317073","0.9761904762","44.71544715","50",,,,,,,"17.26397452","19.63152452","17.1688618",,,,,,"2014-15",,,,,,
"2014","Andover School District","0010011","Andover Elementary School","0010111","Public Schools","PK","6","Targeted Assistance","SchoolTot","618.9441465","650","95.22217638",,"0","82.93221258","100","100","74.42190991","75","99.22921322","100","76.35009682","100","100","75","67.23694792","89.6492639","100","64.01266667","85.35022222","100",,"71.09019608",,"0","0.57","7.76",,,,,,,,,,,,,,,,"0","0.9879518072","1","0.9846153846","0.9880952381","1","0.9846153846","1",,"1","0.012145749","50","50","0.037037037","50","50",,,,,,,,,,,,,,,,,,,,"0.6707317073","0.9761904762","44.71544715","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Ansonia School District","0020011","District","0000000","District","District","District",,"DistrictTot","862.3797887","1,250","68.9903831",,"0","60.69993639","80.93324852","100","57.14383893","70.45611288","76.19178524","100","51.71897227","68.95862969","100","60.32806343","48.53534879","64.71379838","100","46.83499112","62.44665483","100","43.56216216","55.37371795","58.08288288","100","13.31","11.79","11.81",,,,,,,,,,,,,,,"0","0.985645933","0.9878453039","0.9799426934","0.9841017488","0.9823788546","0.9885714286","0.9712351946","0.9673659674","0.9814814815","0.1628997868","27.42004264","50","0.1932624113","21.34751773","50","0.7589928058","50","50","0.2086330935","13.9088729","50","0.8882681564","47.24830619","50","0.7643312102","81.31183087","100","0.7971014493","84.79802652","100","0","0.594","79.19799499","100","0.3801526718","0.8550913838","12.67175573","50","0.3977812995","33.14844163","50","0.7971014493","0.9193548387","0.1222533894","17.26397452","19.63152452","17.1688618","15.16150117",,,,,"2014-15",,,,,,
"2014","Ansonia School District","0020011","Mead School","0020311","Public Schools","PK","6","Schoolwide","SchoolTot","496.3047929","750","66.17397239",,"0","61.34279936","81.79039915","100","58.49644922","69.58739978","77.99526562","100","53.26830834","71.02441112","100","60.54946594","50.75457536","67.67276714","100","50.5","67.33333333","100","47.41058201","58.28533333","63.21410935","100","11.09","9.79","10.87",,,,,,,,,,,,,,,"0","0.9972752044","0.9963099631","1","0.9972826087","0.9963099631","1","1","1","1","0.1454545455","30.90909091","50","0.1828193833","23.43612335","50",,,,,,,,,,,,,,,,,,,,"0.3878787879","0.8870967742","12.92929293","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Ansonia School District","0020011","Prendergast School","0020811","Public Schools","K","6","Schoolwide","SchoolTot","534.0134747","750","71.20179662",,"0","62.76194742","83.68259656","100","59.54390527","71.05190381","79.3918737","100","55.41188792","73.88251722","100","62.69431667","52.58495355","70.1132714","100","46.47713178","61.96950904","100","43.79444444","55.33","58.39259259","100","11.5","10.1","11.53",,,,,,,,,,,,,,,"0","0.9971830986","1","0.9900990099","0.9971988796","1","0.9900990099","0.978021978","0.9718309859","1","0.0935251799","41.29496403","50","0.1178781925","36.42436149","50",,,,,,,,,,,,,,,,,,,,"0.4329268293","0.9111111111","28.86178862","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Ansonia School District","0020011","Ansonia Middle School","0025111","Public Schools","PK","8","Schoolwide","SchoolTot","493.31768","800","61.66471",,"0","56.49168141","75.32224188","100","52.96214607","68.01338297","70.61619477","100","47.21262548","62.95016731","100","57.40794698","44.10036944","58.80049259","100","45.95150079","61.26866772","100","43.67742616","52.73081761","58.23656821","100","15.05","13.3","9.05",,,,,,,,,,,,,,,"0","0.9803439803","0.9770491803","0.9901960784","0.9803439803","0.9770491803","0.9901960784","0.9771689498","0.9756097561","0.9818181818","0.1699507389","26.00985222","50","0.1887417219","22.25165563","50",,,,,,,"0.9243243243","49.16618746","50",,,,,,,,,,,"0.2608695652","0.7488372093","8.695652174","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
"2014","Ansonia School District","0020011","Ansonia High School","0026111","Public Schools","9","12",,"SchoolTot","890.8771941","1,250","71.27017553",,"0","70.12016832","93.49355776","100","65.99696087","75","87.99594783","100","53.83347079","71.77796105","100","60.91924399","48.26607757","64.35477009","100","48.20805369","64.27740492","100","42.89194139","56.54885057","57.18925519","100","9","12.65","13.65",,,,,,,,,,,,,,,"1","0.9380530973","0.953125","0.9183673469","0.9210526316","0.8923076923","0.9591836735","0.9509202454","0.931372549","0.9836065574","0.2161234991","16.77530017","50","0.2566137566","8.677248677","50","0.8015267176","50","50","0.2213740458","14.75826972","50","0.8875","47.20744681","50","0.8","85.10638298","100","0.802919708","85.41699022","100","0","0.5939849624","79.19799499","100","0.4487179487","0.9689440994","29.91452991","50","0.4168096055","34.73413379","50","0.802919708","0.9193548387","0.1164351307","16.82393905","19.4962559","17.33508251","12.62920614",,,,,"2014-15",,,,,,
"2014","Ashford School District","0030011","District","0000000","District","District","District",,"DistrictTot","632.1255666","800","79.01569582",,"0","72.00330345","96.00440461","100","62.80099345","75","83.73465794","100","61.71010934","82.28014579","100","67.10474578","53.85850978","71.81134638","100","54.17180233","72.22906977","100","47.07200855","60.06312057","62.76267806","100","12.19","13.24","12.99",,,,,,,,,,,,,,,"0","0.9960784314","1","0.9932432432","0.9843137255","0.9719626168","0.9932432432","0.9772727273","1","0.9591836735","0.0684931507","46.30136986","50","0.1","40","50",,,,,,,"0.847826087","45.09713228","50",,,,,,,,,,,"0.4785714286","0.985915493","31.9047619","50",,,,,,,"17.26397452","19.63152452","17.1688618",,,,,,"2014-15",,,,,,
"2014","Ashford School District","0030011","Ashford School","0030111","Public Schools","PK","8","Targeted Assistance","SchoolTot","635.3061975","800","79.41327469",,"0","72.55849359","96.74465812","100","63.89089667","75","85.18786222","100","61.71010934","82.28014579","100","67.10474578","53.85850978","71.81134638","100","54.62039216","72.82718954","100","47.88859649","60.06312057","63.85146199","100","11.1","13.24","12.17",,,,,,,,,,,,,,,"0","0.9960159363","1","0.9932432432","0.9960159363","1","0.9932432432","0.9770114943","1","0.9591836735","0.0692520776","46.14958449","50","0.102739726","39.45205479","50",,,,,,,"0.847826087","45.09713228","50",,,,,,,,,,,"0.4785714286","1.007194245","31.9047619","50",,,,,,,"16.82393905","19.4962559","17.33508251",,,,,,"2014-15",,,,,,
